,Unnamed: 0,Content
0,2,Immigration officials looking for bribes. Too many hustlers in the airport. Bathrooms horrible. A bad experience always. Security personnel are professional for the most part. Security area small and crowded.
1,3,"Merger facilities. Terrible bathrooms, dirty most of the time. Floors always wet. Dirty sinks. Aggressive porters. Long lines to check in. Slow immigration officials. Not much good to say about this airport. Crowed waiting areas, no organization getting to aircraft, lots of pushing and shoving."
2,4,"The worst ""¿International Airport?"" I have ever landed in. Three body searches and four passport checks before even reaching the what may be called boarding gate. And a last passport check at the plane door"
3,6,The old international terminal was the ugliest and dirtiest place I have ever been to. The new one seems to be great...for the moment!
4,9,"Lounge was closed without prior notice neither from the airline (Lufthansa), airport, lounge or PriorityPass. Very chaotic and unorganized airport."
5,13,No on-line check-in for BA services so had to use check-in desk. Security was an absolute nightmare with very long queues and fast track suspended because security was so busy – just when you actually need fast track. Lounge very hot and fairly poor selection of food. Boarding by bus only.
6,15,Passengers on the flight to Kyiv were not allowed into the airport with everyone else; they had to stand on the street.
7,16,"The first international airport where you can not pay with credit card, only with cash. If you do not have albanian lek, you can pay usa dollar as well, just charge more. Terrible airport!"
8,22,"Incredibly there is no internal connection between the International and the Domestic Terminal. Moreover the passengers must collect their luggage at international and chack in again at Domestic terminal, after a half kilometer walk olong the street."
9,23,Inbound flight to ALG on a Saturday so road traffic was light. Immigration is so slow. Arrived at the same time as QR - that was an hour gone. Another 45 minutes for luggage. Could do better! I wonder what the departure process will be like?
10,25,"Whoever, may God bless him, will be allowed to go to Shakobistan International Airport.... .................................................. .................................................. .."
11,40,"Smooth check in, need to triage passengers. Business and First Class passengers to be given the necessary treat. Security check staff unfriendly and hold no respect for passengers. Talk to each other and pay no attention if not 100% focus on serving the passengers."
12,41,"Avoid TAAG and Luanda Airport ! such a mess, rude staff, aircraft in such a bad conditions with cabin not doing safety demo and seat are so hard that it feel like it’s wood, and the wall is falling into pieces. I’ve never been scared of flying before and as an Ex cabin crew this is scary to see."
13,42,"Se por um lado o avião estaciona junto ao aeroporto nacional (uma vantagem), por outro fica-se mais de uma hora a espera das bagagens. On one side there was an improvement because the plane is now stopping near the baggage claim area but the time we wait for the baggage for an hour is not admissible"
14,43,"Poor Airport waiting, poor information. No free wifi and if you want to smoke then most to pay for it. Unconfortable and all drinks cost not normal"
15,44,"horrible... toilets are disgusting... Only reason i was here was for work. Staff are rude, refuse to speak English. esspecialy when they have an issue with your yellow fever stamps. Make sure you have this up to date before getting here and clear. took 2 hours to get through customs, could not be bothered to put more people on to help out... all sat in a corner having a chat about us poor folk standing there like sheep for 2 hours"
16,46,"You are lucky if you are not arrested by the angolan immigration at your arrival acused to have a fake visa, just because they don't have their system updated. If at your arrival your name is not in the immigration service system the conclusion for them is obvious: Your visa is fake and for sure you are trying to enter in Angola to still oil and diamonds. Surreal country..."
17,47,"This is without a doubt the worst airport I have ever been to. The service is terrible, customs is corrupt, and so is the rest of the facilities. No good food available, only bad food. Check inn i horrible. Border control is rude, and way to slow. I have no positive things to say about this airport. Even thought it underwent some modification, the toilets still smell like piss. And that is not a good smell in an heated airport. Do not go there unless really needed."
18,52,"I don't think that the airport is particularly suited to handle wide body jets. The additional covid health checks prior to immigration caused a long queue after disembarking on a relatively quiet flight. The Virgin flight from LHR arrived while I was still queuing in the upper level. Who knows how long those passengers had to wait. I did manage to jump a few places in the queue due to not having all of their paperwork ready. Make things easier for yourself and check the entry requirements and listen to the announcements from the cabin crew. Due to the length of time it took to get to baggage reclaim, my case was there waiting for me. There was little open landside at time and due to work going on, the currency exchange was boarded off. There is an efficient taxi dispatch for onward travel."
