,Content
7006,"TSA lines early in the morning are painfully long. Only 2 of the 4 scanners are open despite people queueing up for 30 minutes. Flights into and out of Albany are often cancelled. Other than Southwest, airlines mostly operate small RJ aircraft that force cancellations more often."
7007,"TSA early in the morning has possibly the worst line backed up out of any US airport. It is there every day and the TSA seems to think they are below average. It often takes over 1 hour to get to security. Once there, they have 2 of 5 scanners working. These are not smart people."
7018,-
7034,The non TSA pre check line was +1hour long. Passengers were going to the front of the line to avoid missing their flight. Get there 2 hours early if you need to return a car and/or check luggage.
7040,What a shit show starting with Delta lost in managing queues for checkin counters and baggage drops. Most uncomfortable experience so far this year.
7041,"Very poorly signed, with no elevated signs indicating the locations of the shuttle or Uber pick-up locations (signage only found in the form of stickers on the floor by the escalators...very easy to miss). Overall, the airport seemed crowded and not very ergonomic in design."
7045,"Loved all the shopping and dining options, and how modern and clean ATL looked, but literally had the worst customs/TSA experience ever here"
7073,"under construction, but all ok should be good when its done"
7086,birmingham
7095,"There are almost no food / drink options before going through security at this airport. I had to wait for a delayed flight for about 5 hours, and couldn't get through security for a few hours because I also had a bag to check in, so I was stuck out there"
7102,"We had a somewhat miserable time at BOS as we spent over 10 hours there due to delays. While this isn't indicative of everyone's experience, our was not good."
7119,"What an awful airport. It's small, the staff fulfill the worst of American stereotypes, sleeping there is a thoroughly unpleasant experience with hardly any amenities, and the constant blaring of the TVs fills your unconscious with right-wing propaganda."
7120,Much bigger airport than I expected
7128,Came here instead of LAX
7144,Airport is under heavy constructions. Very few restaurants and shops only. Two piers despite the fact CHS is very small. Still cosy what I apreciate about airports in the southeast
7146,"Not a bad little airport, but being stuck there for 5 hours waiting for a replacement aircraft was torture. Free wifi and pleasant staff, though."
7155,Everywhere you look there is a line. Bathroom? yep. Baggage claim? yep. I got stuck in a line trying to simply exit the terminal. Like the door to exit wasn't enough for the amount of foot traffic. Hate this place with a passion.
7156,I have flown arrived and departed from 16 different airports. This one is the worst. Airport is permanently under construction (not uncommon for a large airport). TSA is straight up rude at CLT. Wifi is very slow. Way overcrowded.
7167,"THE MOST EXPENSIVE AIRPORT I HAVE EVER TRAVELED THROUGH! BRING PLENTY OF $$$$$ IF YOU PLAN OF GETTING ANY FOOD, EVEN FAST FOOD! TERRIBLE RIP OFF!"
7168,"Ground agent unfriendly, counted my poster tube the 3rd carry-on. I had to de-assemble the tupe and put them into my bag to make the carry-on 2."
7175,"Execrable assistance service for PRMs. They help you out of the plane, take you in a wheelchair to a place in Terminal B and tell you, sorry we don't know how to go down the escalator, you have to go to your gate yourself. in terminal C located several hundred meters away."
7180,Staff at the airport are rude. There are no clear signs to help travellers find their way inside the terminal and the staff are not friendly. I had a stressful experience at this airport.
7187,"Convoluted exit after baggage collection as you have to go through security again to exit. After customs and baggage collection you enter a security area where your bag is put on a conveyer belt that sends your bag to the carousel upstairs, but then you go through security, including liquids check, before exiting to the carousels. This is because you join departing passengers in the airport, hence the security checks. Airport not really set up for international arrivals."
7188,"CVG is normally a very efficient airport. Today, I was greeted by the rudest, most unprofessional Delta ticket agent who was also abusing every piece of luggage I saw her touch. TSA pre was closed, but the pre line was not blocked off, so you just ended up walking to an unmanned station with no signage. TSA did provide a card so we didn’t have to remove shoes, belt, etc. It was still awkward being behind “non regular” fliers that need 5 totes and 10 min to put everything on the belt for security clearance."
7202,"I get to my flight I'm flying allegiant so I get to the airport early so that I can check in, the nice person behind the counter said that my TSA pre-check isn't valid for this trip and that I will have to go through the normal line, this line was so long that by the time I was getting my shoes on they were calling me to my flight because they were about to leave without me. I got to the airport an hour before I'm supposed to board the flight. The airport did look nicer but it looks like an airport from the 80s that just has a nice paint job."
7209,"Its a REALLY OLD and SMALL airport, and i really didn't enjoy the stay. Even though i only had to stay there for 50 min, the services were pretty bad..."
7225,"As an unaccompanied minor, my parents credit card information got stolen in the literal UM holding room. (These ratings are from the UM Program)"
7231,"Bus shuttle between terminals outside is pretty m'eh, old busses that have no shocks so the luggage gets unforgivingly bounced around, and it takes a long, long time. The bags came out 40 minutes after the plane landed, even though the claim was relatively close to the gate, and it's an all American Airlines terminal so they should have it down pretty efficiently."
7242,No problems
7248,My least favorite airport. Everything is far away and the food options either fall short or have an hour-long line.
7252,A absolute mess. It was horrible to get throught the airport especially with a dog and luggage. The trains were late and annoying.
7262,"Leaving from ""McNamara terminal"" (Delta flight). Questionable check-in procedure, you must do the check-in by yourself at the machines (no alternative) but after you have a long queue to drop the luggage (and a badly controlled queue as well...). What is the gain of the self-check-in then? New safety procedure, totally different from standard... you keep your jacket on, but metallic objects and phones must go in the bags... might be more efficent on long term, now is just confusing. Layout of terminal is questionable too, very very long straight corridor... very long walks."
7264,No free WiFi
7270,THERE WAS DOG POOP SPREAD ALL OVER THE AUTO WALK WAY AND BY THE TRASH CANS. WAS NOT CLEANED UP FOR THE HOUR I WALKED BY TWICE.
7300,Really small airport. Only 5 gates.
7307,"Immigration here is the most complicated I've seen in the world. It seems every step in the process is designed to be more complicated for you. I don't understand why you go thru baggage claim first, then have to wind you way thru the queue with all your heavy luggage. Absolutely trash."
7312,"I waited in a mile-long line at bag drop for two hours, which made me almost miss my flight. There was only one employee while the others were having conversations. Security wasn’t helpful that day."
7354,"Harrisburg is the bare minimum airport possible in the United States. One runway, one terminal. A handful of food options, all of them overpriced and of poor quality. Never could figure out if the terminal even had a Wi-Fi system. This is the sort of airport that you use only when you have no other options. Having said that I'd rather fly here than drive to PHL."
7361,"So In my opinion, the Honolulu airport is one of the most confusing airports I’ve been to, we did not find out that you had to go through agriculture to get to the mainland airlines, we made it with two minutes to spare, are flight was delayed by 3 hours because of the construction of the Honolulu Airport which made us have to run through the airport."
7369,"Security line was near an hour long and the staff were kinda rude. Also, the USDA staff threw everyone’s luggage around while “checking for fruits.” The USDA’s X-ray machine also malfunctioned, causing bags to push each other off the conveyer belt and onto the floor"
7375,"Pretty run down and awful looking. Not sure about public transport but the traffic did seem a bit chaotic. United Lounge was okay, it had a good view, however. The immigration officer was really cool, he even made small talk with us and told us about how he used to live in North Carolina"
7376,Poorly laid out and signed. TSA was quick and fairly painless but every other aspect lacked - particularly the lack of options for fresh food in the terminal. Only one cafe where the menu is in Spanish isn’t good enough for an international terminal.
7421,"Slowest bag claim in the world. Doesn’t matter the time of day or airline, minimum 20 minute wait."
7425,"This is a very nice , small airport . One of the better Florida airports ."
7430,"What an absolutely awful airport. Hot, cramped, not enough seating and the ‘lounge’ is a joke."
7431,"What an absolutely awful airport. Hot, cramped, not enough seating and the ‘lounge’ is a joke."
7446,"Smallest worst airport, avoid until the new terminal is complete, in probably last 2023 or early 2024."
7447,"Narrow terminal/concourse, limited food/store options. The bathrooms were not clean. Difficult to get a Lyft/Uber/Taxi from the airport."
7448,"Worst airport in the US. Not enough seats in terminal. 30 mins to wait on bag claim, another 30 mins for Economy Lot shuttle bus."
7450,"MCI when it was built, totally fit the need for the area. Now that times have changed, especially with security, the airport is far from ideal. Only 4-5 per gates per post security area. Very few food options and in this instance, only one working Mens toilet for 100 or so people. Can’t wait for the renovations to be complete to see it become functional again."
7462,"This is a VERY Mediocre airport. I love Hawaii but don't like KOA. The reason being is that it's extremely hot, all the vending machines and the water fountains are out of order. There's one restaurant in the entire airport. The WiFi was fine for downloading the UA app but it was finicky. Hope this place gets an upgrade."
7464,"Usually small airports are quick and efficient. Not this one, took forever to move the bags about 50 yards."
7465,"Not like any airport that I've been to. More like a bus terminal. No jetway to airplane. Must take ramps down to tarmac, thankfully it wasn't raining, but hard on my knees. Signage once in airport is 8 1/2 x 11 paper taped to posts. Best to just follow other passengers to baggage claim. Really just a jumble of open air buildings with no amenities. Really poor facility."
7470,"2 hours in line for TSA!!! What a joke, loads of people missing there flights because TSA was to lazy to work more than 1 machine, shame on this excuse for an airstrip"
7483,It was pretty nice. But when my kids walked out they saw the casino and thought it was an arcade for old people!????????????
7491,"Took forever to get through the covid screening area. No air conditioning at the airport, it's kind of open. Crappy cell phone signal and no Ubers readily available."
7494,ontime arrival
7498,Stopover without getting out
7513,"LAX is an embarrassment to the second largest city in the US. Traffic is slightly better since the airport inaugurated ""LAXit,"" a lot especially for rideshares. The problem is, unlike other airports, you can't catch your ride right outside the terminal, but, jetlagged and exhausted, you have to board a crowded shuttle to an offsite lot and wait again there. They're finishing an interterminal tram, but LAX still feels primitive and clunky compared to DAL, MIA or other better planned airports."
7527,Small Midwestern airport whose FBO isn't really equipped to handle a charter EMB-145XL. Baggage handling difficult. The only de-icing truck they could find on departure was so broken down that it almost had to be pushed into place by hand.
7537,"The absolute worst airport I have ever been to. Bare bones facilities, terrible food and drink services with the exception of Dunkin' Donuts, rude security staff, the airport is 2.5 hours away from Orlando and shouldn't even be considered an Orlando airport."
7543,Everything shuts down after 8:30 pm! Landside doesn’t have any restaurants or places to eat properly. International airport unworthy
7551,Busiest airport in the US and the western hemisphere for cargo flights.
7554,MIA is not a good airport to transit. I was already stressed as there was little time between my flights. What I didn't need was the further stress created by the time it takes to transit. I also find US airports overpriced. There is the feeling that they know that passengers have no other options and up the price of everything.
7555,Customs was a nightmare. More than 2 hours waiting. Dozens of passengers missed their connecting flights.
7575,"This airport is terrible. Dirty in some places and a pain to navigate. The pick-up area by baggage claim is abysmal and the security presence is non-existent, cars are sitting there idle for way too long."
7601,smooth
7610,"TSA gets crazy here. The waiting line is across the airport entrance until the entrance door. They managed to increase the waiting time in the line from 30 Minutes two weeks ago to 50 Minutes. I was warned as friends had to queue up for an hour. If you want to fly from BNA, calculate an hour for TSA. No United Lounge available. The waiting seats look nice, made of stainless steel. Prevent you to sit too long..."
7617,"The new terminal is 20 mins away from rental car facility by shuttle. The free shuttles run only intermittently and are packed. New terminal looks nice, but the difficulty getting to the airport w/o dedicated off-ramp from highway is quizzical."
7618,"Avoid at all costs. Getting to the airport is very slow, buses are rare and taxis expensive. No food between 8pm and 5am. Internet is spotty, disconnects randomly and is slow. Aircondition is set to max, bring warm clothes if staying for more than an hour. Security doesn't seem to be able to handle big passenger amounts. Shops and restaurants are very limited. Avoid this airport unless you really want to go to New Orleans."
7620,Seriously the most poorly maintained terminal in the US. Many in third world countries are nicer than this. Food and dirt and insects everywhere. I felt greasy and dirty just existing here.
7621,"This is my home airport, and it is pretty awful considering the traffic volume. This is a black eye for New Orleans. Fortunately, there is a brand new, full size 35 gate terminal facility being built. It opens February 2019. Until then, bring your own food if Smoothie King can't hold you over for your flight. I will say that the Delta terminal D is actually very nice and modern. That is the only portion of the old 4 terminal airport that will remain after demolishing the old terminals."
7624,"One of worst airports I’ve been. I departed from Terminal 1 and there was only one officer to check passaports,and the staff were very rude, constantly rushing passengers through security checks."
7625,Abysmal security facilities even at 06:00 - not enough staff to open Priority Lane and inept handling of items once scanned. Not rushing back to JFK any time soon ;-( BA Greenwich Lounge was very well appointed - a bright experience after the dire Security facility.
7632,"Due to constructions going on inside the airport, there is a discrepancy between what is actually running versus what the signs and announcements say how things are running. Getting from terminal 8 to terminal 1 was a nightmare because I got several mixed signals from airport employees and announcements. Almost missed my connection!"
