,Unnamed: 0,Content
0,1,"The Kabul airport has improved. It's a lot cleaner and they have upgraded their facilities. There is a new lounge, not connect with Emirates/FlyDubai yet but one can purchase entry. The old Business class lounge is a waste. They have opened several new eateries."
1,5,The domestic terminal is quite run down.
2,8,"A very nice terminal, recent, modern, comfortable. The trip by bus to Tirana (there are no train, tram or metro) is less comfortable and can take from half an hour to nearly one hour according to traffic, which is hectic in town at the rush hours."
3,10,In 2023 still not admit the digital boarding pass. You have to go to the fate to print the boarding pass
4,11,"Tirana’s airport is way too small compared to the number of visitors, alltough you can spot some nice plane such as Embraers, CRJ’s,etc.. 3/5"
5,12,The immigration staff are rude and impersonal. Atm's charge a small fortune to withdraw cash however the exchange rate is extremely good at the kiosk! Wifi is awful and rarely works.
6,14,We asked the lady at the check in for a window like 5F and she gave it to me. Than at the security they controlled us and no problems. We ate something at the Bar there waiting for the Boarding to start. We went at the airplane with busses. Small but a modern and nice airport. Overall rating 10/10
7,17,"Queues were rather long, which meant that there was a lot of waiting around. However, the staff were friendly and there were plenty of seats to sit in while we waited for the line to shorten so that we could board."
8,20,"This flight was a great flight for me and my family flying to Algeria, arriving to Algiers and departing from there was excellent, i think this airport coming from my preference has a huge potential into being one of the best airports in Africa and globally, its also quite clean and i always see cleaners around mopping the floor, the building was quite modern and huge but there was quite a lack of entertainment for the children."
9,21,"Good airport, modern, but please be aware that the immigration might take a lot of time for non-Algerians, so be on time on departure!"
10,24,This is the best airport in Africa :D ....................................................................................................................................................................................................................................
11,26,"Excellent very bright, best in north Africa ...nice airport Algiers / Houari Boumediene. very clean, quick passage through immigration, Baggage in 10 minutes. undoubtedly the best in North Africa."
12,27,"Excellent: I like this airport. Profissional and kind immigration/customs staff. Quick processing in both ways: no time lost, no long queues, just few minutes to go through all controls. Wifi is available but not for free: WIFI access cards can be purchased from stores inside airport."
13,28,"One of the nicest in Africa, very bright and clean. It still needs some improvements such as more shops and restaurants, but in overall it is a very nice and comfortable airport. Besides, it will be soon linked with Algiers underground system, which is a very good thing, given the prices asked by some taxi drivers..."
14,29,"as i flight attendant i find DAAG's new look one of the best in Africa , more than this , the services provided are quite fine , they do the job, maybe the problem that faces passengers is related to security and check , here sleeps the difficulty, but except check.. everything is alright and so fine just make sure you fly with Tassilli airlines to enjoy your trips ..."
15,38,What is the use of tagging the business class passenger bags when the wait for collection is exactly the same as economy passengers. Business class have the privilege to leave the flight first and then wait with all other passengers for luggage. The Priority sticker does not mean anything in this instance.
16,39,"The lounge has no toilet, the toilet on the airport is a mess, with no paper and sinks with no water or broken. There's no much option for food. The service connection system and staff are confusing. And there's no wifi on the airport."
17,45,The airport is small for the number os passengers that have now a days but is very nice. So comfortable. Most of the Toilets are out of order
18,51,"Getting to the airport was simple given the number of taxis on the island. I'm not aware of any public transport options, but taxis would be more reliable. Check-in and security were not a problem. Several shops and food and drink outlets are available airside, including Big Banana. Boarding was straightforward, if a bit back to front in my opinion."
19,53,Small airport but new and air conditioned. Baggage reclaim is slow for an airport with very few flight arrivals. Immigration was quick and easy.
20,54,"Nice airport: small, clean, several food/drink options. Comfortable seating near gates. Executive Lounge was nice (Great outside seating area with sunshades overlooking the runway: wish more airports offered the option of outside seating after clearing security)"
21,55,"Small, modern airport. Few Duty free shop nad fast food. No chance to smoke anywhere. Friendly people"
