,Content
7001,Small but pretty and clean airport! Looks like a museum and is well-structured. Very friendly staff!
7002,"I like ALB because it's close and convenient. Lines are usually quick which I appreciate. Only downside is that the restaurants tend to close a bit early, so if you have a late flight, you may not be able dine in the terminal. The restaurants themselves are nice however."
7003,"The airport was beautiful, there was no lounges but it made up for it with the nice seats by the gate and the restaurants they had."
7004,"Great small airport, parking, checking in, security, and boarding was all straight forward with no problems."
7005,"Two letters EZ. At 6 in the morning the airport is bustling with travelers bound for cities throughout the Northeast, no line or traffic to airport, nice new road, easy signage, fast and efficient security, easy boarding. Truely solid regional airport"
7008,Good value
7009,"The airport is definitely more of a cozy home type of airport and is really nice because of that! What makes it three stars though? Security is horribly rude for absolutely no reason. The second to last time I visited the airport, two guys were bullying a passenger for not completely understanding the process (he's not a frequent traveler). Overall, it's a beautiful airport with extraordinarily rude security with the lack of a reason, and a good one at that. Oh yeah, let's not forget the single guy that owns most every food or drink business in the airport, and still doesn't ""allow"" competition."
7010,The airport itself is very easy to navigate and well maintained. The rental car arrangement is a giant pain.
7011,"Getting to the airport was easy enough even though it is a bit outside of the city. Check-in was easy even though one of the people in our group had trouble with the kiosks. The security check was incredibly fast. Terminal facilities were fine and clean. The seating areas are plentiful and very comfortable. Wifi was a bit slow but adequate, a little difficult to log in. Food options were good but way too expensive even for airport prices. Retail was the standard but had some nice local options."
7012,"Easy to navigate, and plenty of places to sit down or rearrange your items. Getting to the airport is fine but getting to the rental car pickup involves taking a shuttle and it's a bit of an inconvenience. Wifi is adequate but slow and a little difficult to log in to."
7013,"Hard to not like the ABQ Sunport! I find flying to or from here is easy and convenient. All staff I encounter is extremely friendly and accommodation. Not to mention, I just love the southwestern/New Mexican style architecture of the terminal building."
7014,"Have to say for a small airport it's definitely one of the nicer ones es for its age. Getting through security is easy, parking is plentiful and the restrooms are realy clean! There is a good microbrewery (once you get through security) once you get to the point to the point that you have to select which terminal you are boarding."
7015,"Awesome facility with the southwestern feel and architecture. I really enjoyed the public observation deck, great views of the mountains, they just need my aircraft movements."
7016,"Great airport... Arrived late and Delta misplaced luggage. Handled quickly by Delta rep and suitcase arrived at hotel a few hours later. Free wifi, no problem at all getting a taxi at 9 PM. Shops and restaurants seemed to be closed. Departure--- about $20 for a taxi from near Old Town, check-in and security fast. Plenty of outlets to charge electronic devices. A few restaurants and shops... $3.19 for a bottle of Coke at the news stand seems criminal though."
7017,"One of my favorite airports. Laid back and easy to navigate. Now that the Wright amendment is gone, I will be here less, but did enjoy the quick layovers on WN with a Kiva juice ready to go to California or back to DAL."
7024,"It's your average mid market airport nothing special, but it has a McDonalds. It has good views though"
7025,Good airport to fly in and fly out of. Even has a place to just watch the planes from a climate controlled space.
7026,"The Anchorage Airport is beautiful. It has lots of daylight and beautiful views of the mountains. It has plenty of cargo activity, so there are some large, fascinating airplanes passing through the airport. My one complaint is the WiFi and phone service in the building. While it is easy to join the WiFi network, it can be extremely sluggish at times. Hotspotting off a phone doesn't always work very well either since there are some weak service areas in the airport."
7027,"ANC is a cool little airport that I’d love to explore more in the future. Lots of art installations that range from gorgeous to quirky, great tarmac views, solid food options and even a pop-up Delta Sky Club! Loved the window decals all over giving interesting facts about the airport — had no idea it was 4th busiest for cargo in the US!"
7028,"Ted Stevens is truly an airport like no other. Forget the hassle, the lines, and the crowds. PANC has none of that. Love this airport."
7029,"We enjoyed the experience at the airport. The WiFi is free and it's really needed, as in Alaska only GCI showed on my phone and had no data coverage. All the staff was friendly and the experience was smooth. One minus is that the exit ramp from the car rentals is really poorly designed, a slightly longer car barely fits through there."
7030,"Surprisingly good airport. Realize that this used to be the gateway to Asia in the days before modern jetliners with 10,000 miles of range but was pleasantly surprised to find a modern facility."
7031,Anchorage was amazing! beautiful mountains and snow in June! But it was quite odd to be in totally different side of the world after such a long trip. And it was pretty weird cuz everybody was speaking in english and I didnt knew anyone at all there!
7033,Very aesthetically pleasing airport. Really pretty interior and easy to navigate. In terms of food/retail there isn't any besides a plethora of vending machines at least airside. Staff was very friendly. Would absolutely fly here again! Also had good Wi-Fi
7035,"First time ever flying into this airport. Loved the opportunity to see my home from the plane on our way in. It's a very small regional airport, but it is convenient. The bar is very nice, and worth checking out if you are coming through when it is open."
7038,"ATL is obviously a DL hub, so other airlines often end up with gates that are, sub-par. AS is no exception, being allocated gate D3 at the end of DLs regional concourse alongside Frontier and Spirit. The gate area is extremely small and congested. Definitely no need to show up early and wait - you'll thank yourself later. Check-in was just chaos for seemingly no reason - AS and their new bag check/tag machines are not fast and they cause lots of confusion and the line was very long."
7039,"Massive airport that you should allow at least 45 minutes to connect through, because Delta runs the whole show and while there's some predictability about which gate you'll get into/leave from, things can change. Some great Delta lounges, some mediocre ones."
7042,"Atlanta's terminals are starting to show their age--they feel worn down and cramped. However, the TSA pre-check line was well-organized and efficient, and the Delta Lounge in the A gates was very spacious and well-stocked."
7043,"Loved all the shopping and dining options, and how modern and clean ATL looked, but literally had the worst customs/TSA experience ever here"
7044,"Loved all the shopping and dining options, and how modern and clean ATL looked, but literally had the worst customs/TSA experience ever here"
7046,"Loved all the shopping and dining options, and how modern and clean ATL looked, but literally had the worst customs/TSA experience ever here"
7047,"The best airport if you are in transfer, max 10 minutes to get from any terminal to any other, fantastic :-))))"
7053,Small airport but check in and going through security is a breeze. Usually it's not very crowded and plenty of seats are available.
7054,Small airport but check in and going through security is a breeze. Usually it's not very crowded and plenty of seats are available.
