Aircraft,Number,Family,Company
AT43,118,ATR 42 family,Hevilift Australia
AT43,118,ATR 42 family,Private owner
AT43,118,ATR 42 family,American Jet
AT43,118,ATR 42 family,Zimex Aviation
AT43,118,ATR 42 family,Tropical Air
AT43,118,ATR 42 family,La Costena
AT43,118,ATR 42 family,RiseAir
AT43,118,ATR 42 family,Colombia - Navy
AT43,118,ATR 42 family,Solenta Aviation
AT43,118,ATR 42 family,Chalair Aviation
AT43,118,ATR 42 family,Pascan Aviation
AT43,118,ATR 42 family,Aerlink
AT43,118,ATR 42 family,Sky Express
AT43,118,ATR 42 family,Transwest Air
AT43,118,ATR 42 family,Astra Airlines
AT43,118,ATR 42 family,Meteo France
AT43,118,ATR 42 family,Asecna
AT43,118,ATR 42 family,FedEx
AT43,118,ATR 42 family,Fleet Air International
AT43,118,ATR 42 family,Blue Islands
AT43,118,ATR 42 family,Calm Air
AT43,118,ATR 42 family,Lease Fly
AT43,118,ATR 42 family,United Express
AT43,118,ATR 42 family,DGI LLC
AT43,118,ATR 42 family,DOT LT
AT43,118,ATR 42 family,Blue Ridge Aero Services
AT43,118,ATR 42 family,United States - US Department of Justice
AT43,118,ATR 42 family,Alliance Air
AT43,118,ATR 42 family,Chad - Government
AT43,118,ATR 42 family,Overland Airways
AT43,118,ATR 42 family,Colombia - Police
AT43,118,ATR 42 family,Map Linhas Aereas
AT43,118,ATR 42 family,DHL
AT43,118,ATR 42 family,Indonesia - Marine and Fisheries
AT43,118,ATR 42 family,Buddha Air
AT43,118,ATR 42 family,Kolob Canyons Air Services
AT43,118,ATR 42 family,FedEx Feeder
AT43,118,ATR 42 family,Air North
AT43,118,ATR 42 family,Aer Lingus Regional
AT43,118,ATR 42 family,Aviateca
AT43,118,ATR 42 family,Canadian North
AT43,118,ATR 42 family,Swiftair
AT43,118,ATR 42 family,Trigana Air
AT43,118,ATR 42 family,Hevilift
AT43,118,ATR 42 family,Aeromar
AT43,118,ATR 42 family,DAT
AT43,118,ATR 42 family,Wasaya Airways
AT44,8,ATR 42 family,Conviasa
AT44,8,ATR 42 family,Italy - Coast Guard
AT44,8,ATR 42 family,Italy - Guardia di Finanza
AT45,120,ATR 42 family,Krasavia
AT45,120,ATR 42 family,Winair
AT45,120,ATR 42 family,Empire Airlines
AT45,120,ATR 42 family,Private owner
AT45,120,ATR 42 family,Tarom
AT45,120,ATR 42 family,Precision Air
AT45,120,ATR 42 family,Zimex Aviation
AT45,120,ATR 42 family,Afrijet Business Service
AT45,120,ATR 42 family,Clic
AT45,120,ATR 42 family,RiseAir
AT45,120,ATR 42 family,Nusantara Air Charter
AT45,120,ATR 42 family,Solenta Aviation
AT45,120,ATR 42 family,Easyfly
AT45,120,ATR 42 family,Chalair Aviation
AT45,120,ATR 42 family,KalStar Aviation
AT45,120,ATR 42 family,Loganair
AT45,120,ATR 42 family,Aerlink
AT45,120,ATR 42 family,Sky Express
AT45,120,ATR 42 family,Amelia
AT45,120,ATR 42 family,OMNI Taxi Aereo
AT45,120,ATR 42 family,Satena
AT45,120,ATR 42 family,Ohana by Hawaiian
AT45,120,ATR 42 family,Ceiba Intercontinental
AT45,120,ATR 42 family,Pelita Air
AT45,120,ATR 42 family,Vietnam Airlines
AT45,120,ATR 42 family,Air Corsica
AT45,120,ATR 42 family,Tarom (SkyTeam Livery)
AT45,120,ATR 42 family,Pakistan International Airlines
AT45,120,ATR 42 family,TransNusa
AT45,120,ATR 42 family,Air Botswana
AT45,120,ATR 42 family,Caicos Express Airways
AT45,120,ATR 42 family,Indonesia Air Transport
AT45,120,ATR 42 family,InterCaribbean Airways
AT45,120,ATR 42 family,Hunnu Air
AT45,120,ATR 42 family,Colombia - Police
AT45,120,ATR 42 family,Nyxair
AT45,120,ATR 42 family,Cubana
AT45,120,ATR 42 family,TAME
AT45,120,ATR 42 family,Air Antilles
AT45,120,ATR 42 family,Canadian North
AT45,120,ATR 42 family,United Nations
AT45,120,ATR 42 family,Aerogaviota
AT45,120,ATR 42 family,VoePass
AT45,120,ATR 42 family,Hevilift
AT45,120,ATR 42 family,Aeromar
AT45,120,ATR 42 family,DAT
AT45,120,ATR 42 family,SKY express
AT46,66,ATR 42 family,Hokkaido Air System
AT46,66,ATR 42 family,Silver Airways
AT46,66,ATR 42 family,American Jet
AT46,66,ATR 42 family,Clic
AT46,66,ATR 42 family,Druk Air
AT46,66,ATR 42 family,Olympic Air
AT46,66,ATR 42 family,Loganair
AT46,66,ATR 42 family,Japan Air Commuter
AT46,66,ATR 42 family,Bahamasair
AT46,66,ATR 42 family,Satena
AT46,66,ATR 42 family,Fiji Airways
AT46,66,ATR 42 family,Air Saint-Pierre
AT46,66,ATR 42 family,AirSWIFT
AT46,66,ATR 42 family,Air Tahiti
AT46,66,ATR 42 family,Alpha Star Aviation
AT46,66,ATR 42 family,Alliance Air
AT46,66,ATR 42 family,Maldivian
AT46,66,ATR 42 family,Amakusa Airlines
AT46,66,ATR 42 family,Oriental Air Bridge
AT46,66,ATR 42 family,LIAT
AT46,66,ATR 42 family,Aeromar
AT46,66,ATR 42 family,Air Antilles
AT46,66,ATR 42 family,Travira Air
AT73,32,ATR 72 family,Amelia
AT73,32,ATR 72 family,Private owner
AT73,32,ATR 72 family,Aero4M
AT73,32,ATR 72 family,DAT
AT73,32,ATR 72 family,Air Thanlwin
AT73,32,ATR 72 family,SprintAir
AT73,32,ATR 72 family,FedEx
AT73,32,ATR 72 family,Swiftair
AT73,32,ATR 72 family,Cubana
AT73,32,ATR 72 family,DHL
AT73,32,ATR 72 family,Solenta Aviation
AT73,32,ATR 72 family,West Atlantic
AT73,32,ATR 72 family,Iran Aseman Airlines
AT73,32,ATR 72 family,Wasaya Airways
AT75,351,ATR 72 family,
AT75,351,ATR 72 family,Air Europa
AT75,351,ATR 72 family,Firefly
AT75,351,ATR 72 family,Precision Air
AT75,351,ATR 72 family,Air New Zealand
AT75,351,ATR 72 family,Air Austral
AT75,351,ATR 72 family,Leading Edge
AT75,351,ATR 72 family,KalStar Aviation
AT75,351,ATR 72 family,Loganair
AT75,351,ATR 72 family,Pakistan - Navy
AT75,351,ATR 72 family,Iran Aseman Airlines
AT75,351,ATR 72 family,Sky Express
AT75,351,ATR 72 family,CanaryFly
AT75,351,ATR 72 family,Air Thanlwin
AT75,351,ATR 72 family,Air Corsica
AT75,351,ATR 72 family,MASwings
AT75,351,ATR 72 family,DHL
AT75,351,ATR 72 family,AirSERBIA
AT75,351,ATR 72 family,KrasAvia
AT75,351,ATR 72 family,Bangkok Airways
AT75,351,ATR 72 family,Aergo Capital
AT75,351,ATR 72 family,Kangala Air Express
AT75,351,ATR 72 family,Tarom
AT75,351,ATR 72 family,Injet Leasing
AT75,351,ATR 72 family,Lanexang
AT75,351,ATR 72 family,CAA
AT75,351,ATR 72 family,Air Madagascar
AT75,351,ATR 72 family,ASL Airlines
AT75,351,ATR 72 family,SprintAir
AT75,351,ATR 72 family,Myanmar - Air Force
AT75,351,ATR 72 family,Vietnam Airlines
AT75,351,ATR 72 family,Poste Air Cargo
AT75,351,ATR 72 family,Jump Air
AT75,351,ATR 72 family,Lao Airlines
AT75,351,ATR 72 family,Israir Airlines
AT75,351,ATR 72 family,TagAirlines
