Country,Airport
Afghanistan, Bost Airport (BST/OABT) 
Afghanistan, Chaghcharan Airport (CCN/OACC) 
Afghanistan, Farah Airport (FAH/OAFR) 
Afghanistan, Herat International Airport (HEA/OAHR) 
Afghanistan, Jalalabad Airport (JAA/OAJL) 
Afghanistan, Kabul International Airport (KBL/OAKB) 
Afghanistan, Kandahar Airport (KDH/OAKN) 
Afghanistan, Mazar-I-Sharif International Airport (MZR/OAMS) 
Afghanistan, Tarinkot Airport (TII/OATN) 
Afghanistan, Zaranj Airport (ZAJ/OAZJ) 
Albania, Kukes International Airport (KFZ/LAKU) 
Albania, Tirana International Airport (TIA/LATI) 
Algeria, Adrar Airport (AZR/DAUA) 
Algeria, Algiers Houari Boumediene Airport (ALG/DAAG) 
Algeria, Annaba Rabah Bitat Airport (AAE/DABB) 
Algeria, Batna International Airport (BLJ/DABT) 
Algeria, Bechar Boudghene Ben Ali Lotfi Airport (CBH/DAOR) 
Algeria, Bejaia Soummam Airport (BJA/DAAE) 
Algeria, Biskra Airport (BSK/DAUB) 
Algeria, Bordj Badji Mokhtar Airport (BMW/DATM) 
Algeria, Chlef International Airport (CFK/DAOI) 
Algeria, Constantine Mohamed Boudiaf International Airport (CZL/DABC) 
Algeria, Djanet Inedbirene Airport (DJG/DAAJ) 
Algeria, El Bayadh Airport (EBH/DAOY) 
Algeria, El Golea Airport (ELG/DAUE) 
Algeria, El Oued Guemar Airport (ELU/DAUO) 
Algeria, Ghardaia Noumerate Airport (GHA/DAUG) 
Algeria, Hassi Messaoud Oued Irara Airport (HME/DAUH) 
Algeria, Illizi Takhamalt Airport (VVZ/DAAP) 
Algeria, In Amenas Zarzaitine Airport (IAM/DAUZ) 
Algeria, In Guezzam Airport (INF/DATG) 
Algeria, Jijel Ferhat Abbas Airport (GJL/DAAV) 
Algeria, Laghouat Airport (LOO/DAUL) 
Algeria, Oran Es Senia Airport (ORN/DAOO) 
Algeria, Ouargla Ain Beida Airport (OGX/DAUU) 
Algeria, Setif Ain Arnat Airport (QSF/DAAS) 
Algeria, Tamanrasset Aguenar Airport (TMR/DAAT) 
Algeria, Tebessa Airport (TEE/DABS) 
Algeria, Tiaret Bou Chekif Airport (TID/DAOB) 
Algeria, Timimoun Airport (TMX/DAUT) 
Algeria, Tindouf Airport (TIN/DAOF) 
Algeria, Tlemcen Zenata Airport (TLM/DAON) 
Algeria, Touggourt Sidi Mahdi Airport (TGR/DAUK) 
American-samoa, Pago Pago International Airport (PPG/NSTU) 
Angola, Cabinda Airport (CAB/FNCA) 
Angola, Catumbela Airport (CBT/FNCT) 
Angola, Dundo Airport (DUE/FNDU) 
Angola, Huambo Albano Machado Airport (NOV/FNHU) 
Angola, Kuito Airport (SVP/FNKU) 
Angola, Luanda Dr Antonio Agostinho Neto Airport (NBJ/FNBJ) 
Angola, Luanda Quatro de Fevereiro Airport (LAD/FNLU) 
Angola, Lubango Airport (SDD/FNUB) 
Angola, Luena Airport (LUO/FNUE) 
Angola, Menongue Airport (SPP/FNME) 
Angola, Namibe Welwitschia Mirabilis Airport (MSZ/FNMO) 
Angola, Ondjiva Pereira Airport (VPE/FNGI) 
Angola, Saurimo Airport (VHC/FNSA) 
Angola, Soyo Airport (SZA/FNSO) 
Anguilla, The Valley Clayton J. Lloyd International Airport (AXA/TQPF) 
Antarctica, Davis Plateau Skiway (QAD/AT07) 
Antarctica, King George Island Teniente R. Marsh Airport (TNM/SCRM) 
Antarctica, Marambio Airport (QAB/SAWB) 
Antarctica, McMurdo Ice Runway (QAI/NZIR) 
Antarctica, McMurdo Phoenix Airfield (QAX/NZFX) 
Antarctica, McMurdo Williams Field (QAW/NZWD) 
Antarctica, Neumayer III Skiway (QAN/AT16) 
Antarctica, Novo Runway (QAO/AT17) 
Antarctica, Princess Elisabeth Skiway (QAP/AT99) 
Antarctica, Rothera Air Facility (QAR/EGAR) 
