Country,Airport,Flight identification,Flight Status,Aircraft Code,Aircraft Name,Aircraft Registration,Aircraft owner (Country),Airline Name,Airline Code,Departure Country,Departure Airport Name,Departure Airport Code,Scheduled Departure,Scheduled Arrival,Estimated Departure,Destination Country,Destination Airport Name,Destination Airport Code
Albania,Tirana International Airport,,Canceled,A21N,,,Malta,Wizz Air Malta,WMT,Georgia,Kutaisi International Airport,UGKO,2024-03-15 02:10:00,2024-03-15 05:16:00,,Germany,Dortmund Airport,EDLW
Albania,Tirana International Airport,FR8359,Scheduled,B738,,,Malta,Malta Air,MAY,Italy,Rome Ciampino Airport,LIRA,2024-03-15 05:15:00,2024-03-15 06:40:00,2024-03-15 05:15:00,Germany,Berlin Brandenburg Airport,EDDB
Albania,Tirana International Airport,NUM9904,Delayed 08:57,A20N,,,Seychelles,Air Seychelles,SEY,Kuwait,Kuwait International Airport,OKKK,2024-03-15 03:00:00,2024-03-15 07:26:00,,Italy,Milan Bergamo Orio al Serio International Airport,LIME
Albania,Tirana International Airport,LX1442,Scheduled,BCS3,,,Switzerland,Swiss,SWR,Switzerland,Zurich Airport,LSZH,2024-03-15 05:55:00,2024-03-15 07:55:00,2024-03-15 05:55:00,Belgium,Brussels South Charleroi Airport,EBCI
Albania,Tirana International Airport,A3970,Scheduled,A321,,B-7816,Greece,Aegean Airlines,AEE,Greece,Athens Eleftherios Venizelos,LGAV,2024-03-15 06:45:00,2024-03-15 08:05:00,2024-03-15 06:45:00,Italy,Milan Malpensa Airport,LIMC
Albania,Tirana International Airport,RK8288,Scheduled,B738,Beech 1900D,,United Kingdom,Ryanair UK,RUK,United Kingdom,London Stansted Airport,EGSS,2024-03-15 06:30:00,2024-03-15 09:25:00,2024-03-15 06:30:00,Germany,Frankfurt Airport,EDDF
Albania,Tirana International Airport,W43852,Scheduled,A321,,,Hungary,Wizz Air,WZZ,Italy,Venice Treviso Airport,LIPH,2024-03-15 08:10:00,2024-03-15 09:40:00,2024-03-15 08:20:00,Italy,Turin Caselle Airport,LIMF
Albania,Tirana International Airport,W43846,Scheduled,A21N,,,Malta,Wizz Air Malta,WMT,Italy,Milan Bergamo Orio al Serio International Airport,LIME,2024-03-15 07:50:00,2024-03-15 09:40:00,2024-03-15 08:05:00,Italy,Venice Treviso Airport,LIPH
Albania,Tirana International Airport,W43858,Scheduled,A321,,,Hungary,Wizz Air,WZZ,Italy,Rome Leonardo da Vinci Fiumicino Airport,LIRF,2024-03-15 08:05:00,2024-03-15 09:40:00,2024-03-15 08:26:00,Italy,Bologna Guglielmo Marconi Airport,LIPE
Albania,Tirana International Airport,W46682,Scheduled,A321,Airbus A320-232,,Hungary,Wizz Air,WZZ,Italy,Bologna Guglielmo Marconi Airport,LIPE,2024-03-15 08:10:00,2024-03-15 09:45:00,2024-03-15 08:10:00,Italy,Rome Leonardo da Vinci Fiumicino Airport,LIRF
Albania,Tirana International Airport,W46608,Scheduled,A321,,B-6558,Hungary,Wizz Air,WZZ,Italy,Milan Malpensa Airport,LIMC,2024-03-15 08:00:00,2024-03-15 10:00:00,2024-03-15 08:17:00,Netherlands,Eindhoven Airport,EHEH
Albania,Tirana International Airport,W46604,Scheduled,A321,,,Hungary,Wizz Air,WZZ,Italy,Turin Caselle Airport,LIMF,2024-03-15 08:15:00,2024-03-15 10:05:00,2024-03-15 08:15:00,Germany,Memmingen Airport,EDJA
Albania,Tirana International Airport,FZ745,Estimated 10:48,B38M,,,United Arab Emirates,FlyDubai,FDB,United Arab Emirates,Dubai International Airport,OMDB,2024-03-15 04:05:00,2024-03-15 10:10:00,,Turkey,Istanbul Airport,LTFM
Albania,Tirana International Airport,W46612,Scheduled,A321,,,Hungary,Wizz Air,WZZ,Germany,Berlin Brandenburg Airport,EDDB,2024-03-15 08:05:00,2024-03-15 10:20:00,2024-03-15 08:05:00,Italy,Rome Ciampino Airport,LIRA
Albania,Tirana International Airport,FR8398,Scheduled,B738,,,Malta,Malta Air,MAY,Italy,Bologna Guglielmo Marconi Airport,LIPE,2024-03-15 08:45:00,2024-03-15 10:25:00,2024-03-15 08:45:00,Switzerland,Zurich Airport,LSZH
Albania,Tirana International Airport,W43842,Scheduled,A320,,,Malta,Wizz Air Malta,WMT,Germany,Dortmund Airport,EDLW,2024-03-15 08:15:00,2024-03-15 10:40:00,2024-03-15 08:15:00,United Kingdom,London Stansted Airport,EGSS
Albania,Tirana International Airport,FR8355,Scheduled,B38M,,,Malta,Malta Air,MAY,Italy,Milan Bergamo Orio al Serio International Airport,LIME,2024-03-15 08:55:00,2024-03-15 10:45:00,2024-03-15 09:10:00,Poland,Krakow John Paul II International Airport,EPKK
Albania,Tirana International Airport,W43844,Scheduled,A321,,,Hungary,Wizz Air,WZZ,Germany,Memmingen Airport,EDJA,2024-03-15 08:55:00,2024-03-15 10:50:00,2024-03-15 09:24:00,Italy,Pisa Galileo Galilei Airport,LIRP
Albania,Tirana International Airport,ZB1005,Scheduled,A320,,,Albania,Air Albania,ABN,Turkey,Istanbul Airport,LTFM,2024-03-15 09:10:00,2024-03-15 10:50:00,2024-03-15 09:10:00,Italy,Bari Karol Wojtyla Airport,LIBD
Albania,Tirana International Airport,W46626,Scheduled,A320,,,Malta,Wizz Air Malta,WMT,Belgium,Brussels South Charleroi Airport,EBCI,2024-03-15 08:40:00,2024-03-15 11:10:00,2024-03-15 08:40:00,Italy,Venice Treviso Airport,LIPH
Albania,Tirana International Airport,W46606,Scheduled,A21N,,,Malta,Wizz Air Malta,WMT,Italy,Catania Fontanarossa Airport,LICC,2024-03-15 09:55:00,2024-03-15 11:20:00,2024-03-15 10:08:00,Italy,Bologna Guglielmo Marconi Airport,LIPE
Albania,Tirana International Airport,LH1424,Scheduled,A320,,XA-VRD,Germany,Lufthansa,DLH,Germany,Frankfurt Airport,EDDF,2024-03-15 10:10:00,2024-03-15 12:20:00,2024-03-15 10:25:00,Italy,Milan Bergamo Orio al Serio International Airport,LIME
Albania,Tirana International Airport,W46628,Scheduled,A320,,XA-VSI,Malta,Wizz Air Malta,WMT,Netherlands,Eindhoven Airport,EHEH,2024-03-15 10:00:00,2024-03-15 12:30:00,2024-03-15 10:12:00,United Arab Emirates,Dubai International Airport,OMDB
Albania,Tirana International Airport,CD9291,Scheduled,B39M,,XA-VRA,Netherlands,Corendon Dutch Airlines,CND,Germany,Dusseldorf International Airport,EDDL,2024-03-15 11:00:00,2024-03-15 13:13:00,2024-03-15 11:13:00,Italy,Milan Bergamo Orio al Serio International Airport,LIME
Albania,Tirana International Airport,OS847,Scheduled,A320,,N532VL,Austria,Austrian Airlines,AUA,Austria,Vienna International Airport,LOWW,2024-03-15 11:45:00,2024-03-15 13:15:00,2024-03-15 11:45:00,Czechia,Prague Vaclav Havel Airport,LKPR
Albania,Tirana International Airport,W46602,Scheduled,A321,,XA-MAZ,Hungary,Wizz Air,WZZ,Italy,Bari Karol Wojtyla Airport,LIBD,2024-03-15 12:30:00,2024-03-15 13:30:00,2024-03-15 12:30:00,France,Paris Beauvais-Tille Airport,LFOB
Albania,Tirana International Airport,W44810,Scheduled,A321,,,Hungary,Wizz Air,WZZ,Italy,Venice Treviso Airport,LIPH,2024-03-15 13:00:00,2024-03-15 14:30:00,2024-03-15 13:15:00,Greece,Athens Eleftherios Venizelos,LGAV
Albania,Tirana International Airport,W45099,Scheduled,A321,,XA-VII,Hungary,Wizz Air,WZZ,Poland,Krakow John Paul II International Airport,EPKK,2024-03-15 12:45:00,2024-03-15 14:40:00,2024-03-15 12:45:00,Italy,Catania Fontanarossa Airport,LICC
Albania,Tirana International Airport,W43886,Scheduled,A321,,XA-VXI,Hungary,Wizz Air,WZZ,Italy,Milan Bergamo Orio al Serio International Airport,LIME,2024-03-15 13:40:00,2024-03-15 15:30:00,2024-03-15 13:55:00,Germany,Frankfurt Airport,EDDF
Albania,Tirana International Airport,W44814,Scheduled,A320,,,Malta,Wizz Air Malta,WMT,Greece,Athens Eleftherios Venizelos,LGAV,2024-03-15 14:15:00,2024-03-15 15:45:00,2024-03-15 14:15:00,Austria,Vienna International Airport,LOWW
Albania,Tirana International Airport,W46632,Scheduled,A321,Boeing 737-846,XA-VOZ,Hungary,Wizz Air,WZZ,Czechia,Prague Vaclav Havel Airport,LKPR,2024-03-15 14:00:00,2024-03-15 16:00:00,2024-03-15 14:10:00,Serbia,Belgrade Nikola Tesla Airport,LYBE
Albania,Tirana International Airport,J24052,Scheduled,A319,Boeing 737-86N,XA-VUC,Azerbaijan,Azerbaijan Airlines,AHY,Azerbaijan,Qabala International Airport,UBBQ,2024-03-15 13:00:00,2024-03-15 16:28:00,2024-03-15 13:10:00,Italy,Pisa Galileo Galilei Airport,LIRP
Albania,Tirana International Airport,TB2951,Scheduled,E295,Boeing 787-9 Dreamliner,XA-HSB,Belgium,TUI Airlines Belgium,JAF,Belgium,Brussels Airport,EBBR,2024-03-15 13:45:00,2024-03-15 16:35:00,2024-03-15 14:00:00,Italy,Verona Airport,LIPX
Albania,Tirana International Airport,A3972,Scheduled,A320,Boeing 737-846,,Greece,Aegean Airlines,AEE,Greece,Athens Eleftherios Venizelos,LGAV,2024-03-15 15:30:00,2024-03-15 16:50:00,2024-03-15 15:30:00,Greece,Athens Eleftherios Venizelos,LGAV
Albania,Tirana International Airport,W46634,Scheduled,A320,,,Malta,Wizz Air Malta,WMT,France,Paris Beauvais-Tille Airport,LFOB,2024-03-15 15:05:00,2024-03-15 17:40:00,2024-03-15 15:19:00,Spain,Madrid Barajas Airport,LEMD
Albania,Tirana International Airport,W46650,Scheduled,A321,Airbus A320-214,XA-VUJ,Hungary,Wizz Air,WZZ,Italy,Pisa Galileo Galilei Airport,LIRP,2024-03-15 17:35:00,2024-03-15 19:15:00,2024-03-15 17:54:00,Greece,Athens Eleftherios Venizelos,LGAV
Albania,Tirana International Airport,W43850,Scheduled,A321,Airbus A350-941,,Hungary,Wizz Air,WZZ,Italy,Verona Airport,LIPX,2024-03-15 17:45:00,2024-03-15 19:25:00,2024-03-15 18:00:00,Italy,Rome Ciampino Airport,LIRA
Algeria,Algiers Houari Boumediene Airport,AH6187,Estimated 21:05,AT76,Boeing 737-8D6,7T-VJN,Algeria,Air Algerie,DAH,Algeria,Oran Es Senia Airport,DAOO,2024-03-14 19:25:00,2024-03-14 20:35:00,,Spain,Madrid Barajas Airport,LEMD
Algeria,Algiers Houari Boumediene Airport,TK655,Estimated 22:37,A332,,7T-VJJ,Turkey,Turkish Airlines,THY,Turkey,Istanbul Airport,LTFM,2024-03-14 18:15:00,2024-03-14 22:00:00,,Saudi Arabia,Medina Prince Mohammad bin Abdulaziz Airport,OEMA
Algeria,Algiers Houari Boumediene Airport,SF3013,Scheduled,B738,,,Algeria,Tassili Airlines,DTH,France,Nantes Atlantique Airport,LFRS,2024-03-15 12:20:00,2024-03-15 14:40:00,2024-03-15 12:30:00,Saudi Arabia,Medina Prince Mohammad bin Abdulaziz Airport,OEMA
Algeria,Constantine Mohamed Boudiaf International Airport,SV9360,Delayed 00:45,A333,Boeing 737-4Y0(SF),,Spain,Wamos Air,PLM,Saudi Arabia,Medina Prince Mohammad bin Abdulaziz Airport,OEMA,2024-03-14 18:15:00,2024-03-14 23:24:00,,Saudi Arabia,Medina Prince Mohammad bin Abdulaziz Airport,OEMA
Algeria,Constantine Mohamed Boudiaf International Airport,AH1427,Scheduled,B738,Boeing 737-883(BCF),,Algeria,Air Algerie,DAH,France,Marseille Provence Airport,LFML,2024-03-15 09:45:00,2024-03-15 11:15:00,2024-03-15 09:51:00,France,Lyon Saint Exupery Airport,LFLL
Algeria,Tlemcen Zenata Airport,AH1087,Scheduled,B738,Airbus A320-271N,,Algeria,Air Algerie,DAH,France,Paris Orly Airport,LFPO,2024-03-15 12:10:00,2024-03-15 14:30:00,2024-03-15 12:20:00,France,Paris Orly Airport,LFPO
American Samoa,Pago Pago International Airport,HA465,Scheduled,A332,Airbus A320-216,,United States,Hawaiian Airlines,HAL,United States,Honolulu International Airport,PHNL,2024-03-15 02:20:00,2024-03-15 08:10:00,2024-03-15 02:49:00,United States,Honolulu International Airport,PHNL
