Country,Airport,Flight identification,Flight Status,Aircraft Code,Aircraft Name,Aircraft Registration,Aircraft owner (Country),Airline Name,Airline Code,Departure Country,Departure Airport Name,Departure Airport Code,Scheduled Departure,Scheduled Arrival,Estimated Departure,Destination Country,Destination Airport Name,Destination Airport Code
Algeria,Constantine Mohamed Boudiaf International Airport,V72642,Scheduled,A320,Airbus A300B4-622R(F),,Spain,Volotea,VOE,France,Marseille Provence Airport,LFML,2024-03-15 05:00:00,2024-03-15 06:40:00,2024-03-15 05:06:00,France,Marseille Provence Airport,LFML
Algeria,Setif Ain Arnat Airport,TO7220,Scheduled,B738,Airbus A330-343,,France,Transavia France,TVF,France,Paris Orly Airport,LFPO,2024-03-15 08:05:00,2024-03-15 10:35:00,2024-03-15 08:15:00,France,Paris Orly Airport,LFPO
Antigua And Barbuda,Antigua V. C. Bird International Airport,AC1894,Scheduled,A319,,N335RT,Canada,Air Canada Rouge,ROU,Canada,Montreal Pierre Elliott Trudeau Airport,CYUL,2024-03-15 13:15:00,2024-03-15 18:00:00,2024-03-15 13:25:00,Canada,Montreal Pierre Elliott Trudeau Airport,CYUL
Armenia,Yerevan Zvartnots International Airport,5W7013,Estimated 09:35,A321,,B-32DX,United Arab Emirates,Wizz Air Abu Dhabi,WAZ,United Arab Emirates,Abu Dhabi Zayed International Airport,OMAA,2024-03-15 02:20:00,2024-03-15 05:50:00,,United Arab Emirates,Abu Dhabi Zayed International Airport,OMAA
Aruba,Oranjestad Queen Beatrix International Airport,B62219,Scheduled,A320,,N8686A,United States,JetBlue Airways,JBU,United States,New York Newark Liberty International Airport,KEWR,2024-03-15 10:49:00,2024-03-15 15:15:00,2024-03-15 10:49:00,United States,New York Newark Liberty International Airport,KEWR
Aruba,Oranjestad Queen Beatrix International Airport,B6757,Scheduled,A320,,N8891Q,United States,JetBlue Airways,JBU,United States,New York John F. Kennedy International Airport,KJFK,2024-03-15 11:12:00,2024-03-15 15:40:00,2024-03-15 11:12:00,United States,New York John F. Kennedy International Airport,KJFK
Aruba,Oranjestad Queen Beatrix International Airport,AC1826,Scheduled,A321,,N145DQ,Canada,Air Canada Rouge,ROU,Canada,Toronto Pearson International Airport,CYYZ,2024-03-15 14:00:00,2024-03-15 19:05:00,2024-03-15 14:10:00,United States,Orlando International Airport,KMCO
Australia,Adelaide Airport,VJ89,Delayed 07:15,A21N,Boeing 777-3DZ(ER),,Vietnam,VietJet Air,VJC,Australia,Perth Airport,YPPH,2024-03-14 16:35:00,2024-03-14 19:55:00,,Indonesia,Denpasar Ngurah Rai International Airport,WADD
Australia,Adelaide Airport,VA217,Scheduled,B738,De Havilland Canada Dash 8-400,VH-ZXS,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-14 22:10:00,2024-03-14 23:30:00,,Australia,Gold Coast Airport,YBCG
Australia,Adelaide Airport,VA227,Scheduled,B738,Airbus A321-251NX,,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 02:10:00,2024-03-15 03:30:00,,Australia,Brisbane Airport,YBBN
Australia,Adelaide Airport,VA237,Scheduled,B738,Aero Commander 500S,,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 06:10:00,2024-03-15 07:30:00,,Australia,Melbourne Airport,YMML
Australia,Ballina Byron Gateway Airport,VA1139,Scheduled,B738,Cessna 172S Skyhawk SP,,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-14 23:50:00,2024-03-15 01:05:00,2024-03-14 23:50:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Boolgeeda Airport,VA9423,Scheduled,B737,Airbus A321-111,,Australia,Virgin Australia,VOZ,Australia,Koodaideri Mine Airport,YKDD,2024-03-16 07:50:00,2024-03-16 08:20:00,,Australia,Perth Airport,YPPH
Australia,Brisbane Airport,VA604,Scheduled,B738,Boeing 737-8FE,VH-UYI,Australia,Virgin Australia,VOZ,Australia,Mackay Airport,YBMK,2024-03-14 22:25:00,2024-03-14 23:55:00,2024-03-14 22:25:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Brisbane Airport,JQ812,Scheduled,A320,Airbus A321-251NX,B-5949,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-14 23:05:00,2024-03-15 00:35:00,2024-03-14 23:05:00,Australia,Darwin International Airport,YPDN
Australia,Brisbane Airport,VA933,Scheduled,B738,Cessna 172S Skyhawk SP,VH-LQM,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-14 23:30:00,2024-03-15 01:00:00,2024-03-14 23:30:00,Indonesia,Denpasar Ngurah Rai International Airport,WADD
Australia,Brisbane Airport,VA321,Scheduled,B738,Cirrus SR22,VH-XVQ,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-14 23:10:00,2024-03-15 01:20:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Brisbane Airport,VA776,Scheduled,B38M,Airbus A320-214,ZK-OKP,Australia,Virgin Australia,VOZ,Australia,Cairns Airport,YBCS,2024-03-14 23:10:00,2024-03-15 01:30:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Brisbane Airport,VA935,Scheduled,B738,Airbus A320-251N,VH-YVC,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 00:00:00,2024-03-15 01:30:00,2024-03-15 00:00:00,New Zealand,Queenstown Airport,NZQN
Australia,Brisbane Airport,VA323,Scheduled,B738,Airbus A320-214,,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 00:10:00,2024-03-15 02:20:00,,Australia,Mackay Airport,YBMK
Australia,Cairns Airport,JQ930,Scheduled,A320,Saab 340B+,,Australia,Jetstar,JST,Australia,Brisbane Airport,YBBN,2024-03-14 22:50:00,2024-03-15 01:15:00,2024-03-14 22:50:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Cairns Airport,JQ944,Scheduled,A320,Boeing 737-8FE,,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-15 01:30:00,2024-03-15 04:50:00,2024-03-15 01:30:00,Australia,Brisbane Airport,YBBN
Australia,Cairns Airport,VA793,Scheduled,B738,Airbus A321-231,VH-VGH,Australia,Virgin Australia,VOZ,Australia,Brisbane Airport,YBBN,2024-03-15 07:50:00,2024-03-15 10:10:00,,Australia,Brisbane Airport,YBBN
Australia,Canberra International Airport,VA1210,Scheduled,B738,Boeing 737-8FE,,Australia,Virgin Australia,VOZ,Australia,Brisbane Airport,YBBN,2024-03-14 22:50:00,2024-03-15 00:40:00,2024-03-14 22:50:00,Australia,Brisbane Airport,YBBN
Australia,Canberra International Airport,VA1690,Scheduled,B738,Boeing 737-8FE,VH-XVP,Australia,Virgin Australia,VOZ,Australia,Gold Coast Airport,YBCG,2024-03-15 01:50:00,2024-03-15 03:30:00,2024-03-15 02:16:00,Australia,Melbourne Airport,YMML
Australia,Canberra International Airport,JQ650,Scheduled,A320,,VH-NXN,Australia,Jetstar,JST,Australia,Gold Coast Airport,YBCG,2024-03-15 02:00:00,2024-03-15 03:40:00,,Australia,Gold Coast Airport,YBCG
Australia,Canberra International Airport,VA281,Scheduled,B738,,VH-VUZ,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 06:05:00,2024-03-15 07:10:00,,Australia,Melbourne Airport,YMML
Australia,Canberra International Airport,VA267,Scheduled,B737,,VH-VEQ,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-16 01:30:00,2024-03-16 02:35:00,,Australia,Melbourne Airport,YMML
Australia,Coondewanna Airport,VA9327,Scheduled,B738,Airbus A321-271NX,,Australia,Virgin Australia,VOZ,Australia,Perth Airport,YPPH,2024-03-15 05:50:00,2024-03-15 07:40:00,,Australia,Perth Airport,YPPH
Australia,Gold Coast Airport,JQ498,Estimated 10:27,A21N,Boeing 737-8FE,,Australia,Jetstar,JST,Australia,Adelaide Airport,YPAD,2024-03-14 21:55:00,2024-03-15 00:15:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA1447,Estimated 10:27,B738,Boeing 737-8FE,,Australia,Virgin Australia,VOZ,Australia,Adelaide Airport,YPAD,2024-03-14 22:10:00,2024-03-15 00:30:00,,Australia,Canberra International Airport,YSCB
Australia,Gold Coast Airport,VA1687,Scheduled,B738,Boeing 737-8FE,,Australia,Virgin Australia,VOZ,Australia,Canberra International Airport,YSCB,2024-03-14 23:35:00,2024-03-15 01:10:00,2024-03-15 00:11:00,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,VA735,Scheduled,B738,,PT-MXC,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-14 23:10:00,2024-03-15 01:15:00,2024-03-14 23:10:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ410,Scheduled,A320,Boeing 737-8FE,PS-AEO,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 00:10:00,2024-03-15 01:30:00,2024-03-15 00:10:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ967,Scheduled,A320,,PR-AXJ,Australia,Jetstar,JST,Australia,Cairns Airport,YBCS,2024-03-14 23:45:00,2024-03-15 02:05:00,2024-03-14 23:45:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ432,Scheduled,A321,,PR-YRB,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-15 00:10:00,2024-03-15 02:15:00,2024-03-15 00:10:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ438,Scheduled,A320,Boeing 737-8FE,,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-15 00:25:00,2024-03-15 02:30:00,2024-03-15 00:25:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA519,Scheduled,B738,,PS-AEO,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 01:20:00,2024-03-15 02:40:00,2024-03-15 01:20:00,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,VA741,Scheduled,B738,Mitsubishi CRJ-900LR,,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 01:10:00,2024-03-15 03:15:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA523,Scheduled,B738,Mitsubishi CRJ-900LR,,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 02:20:00,2024-03-15 03:40:00,2024-03-15 02:20:00,Australia,Melbourne Airport,YMML
